sentence	emotion
I want them to tell [PERSON] that [PERSON] is dirty .	2
He'll be our child .	2
You're annoying me .	1
I like pink champagne .	5
Okay , we're all going into the vault now .	2
Officers are en route .	8
Why me ?	2
I haven't even told my wife yet . You haven't ?	4
I'm grounded .	6
More !	1
You haven't had the big payday yet .	2
Look , he doesn't work here anymore , so ...	3
You must be wondering why I called you here .	2
Now get out of here .	1
Stop , wait !	6
Whoa ! - A goldfish .	7
I'm gonna kill myself .	6
Don't do anything foolish .	3
Let's have a good game .	2
I'm going to need you to put your hands up .	8
If he refuses , you got ta insult him !	1
Spoil what ?	1
Before you know it , we'll be good again .	5
Stop talking like a fool !	3
But I don't know anything about [LOCATION] .	2
How can we ever repay you ?	8
Is it worth the risk of a scandal ?	4
I've , uh , really enjoyed this little chat .	4
Oh , my god ! What are you doing ?	7
Perhaps I shouldn't have met him .	6
Well , it figured . It was like that from the minute I laid eyes on her .	8
What were you seeing him about ?	7
It could have been a dead end .	4
One thing I don't want is to start this endless discussion all over again .	1
You'll see a puff of smoke from my exhaust when I cut in the motor . That's when you hit the magic button .	6
Let's try it , shall we ?	2
No - no - no - no ... now , see , half of my team is dead ... by your hand .	4
Come here , little boy .	2
Contact Ambassador [PERSON] and buy me more minutes .	2
What I see is what I see ... We'll do what we can , Mr. [PERSON] .	1
Yet men have killed and proved a reason ... and been set free .	3
Make it up to you .	8
You've got ten minutes to clear out .	1
[PERSON] , I'm going to let you in on something .	8
You are right .	8
But I got ta warn you , she can be a little vicious with the garlic !	8
Death comes closer for us all .	4
I'm headed for hell anyway	3
Something's going to happen on [PERSON] soon .	2
Of course . You're a big supporter of my opponent .	8
You question the judge's integrity ?	1
I have too many scars .	6
Everything these days is pictures .	3
As long as they're not dead ...	4
And what do you think those old geezers really miss in [LOCATION] ?	7
She said she's not in a head - space for a relationship , with everything that's going on in the world .	6
The public's not calm .	4
Alright , knock it off !	1
What are you doing with that piece of sheep dip ?	3
I never heard anything more true .	8
How about that drink ?	2
Now , those were your exact instructions , [PERSON] , so don't punish Oscar for it .	1
You can't hide a corpse , [PERSON] .	1
You mustn't cry anymore .	6
Smart man , he's gonna play his cards right tight up against his chest .	8
Arnie ! Hey , [PERSON] !	2
I have a kid . I have a kid . - Hmm ?	4
Preparing to move . Three passengers . On schedule .	8
It's somehow able to bend light .	7
It could be a boyfriend . Some guy she picked up .	2
Would you like a little more tea ?	2
Find someone else to sing about .	1
Nobody messes with the Healys !	1
Jesus Christ .	4
Well , I never said that .	1
Not a living soul left .	8
All I wan na do is clean it up , get it right .	6
All you people don't know about lost causes .	3
Thank you . I am still curious	5
even though it continues to dominate the market for sex ads .	3
Later , you fucker !	1
If there were more time ...	6
I hated to do anything that might get you into trouble .	6
Better you than your mother .	3
Anyone in your vicinity is in danger .	4
I love soothing a man .	5
Giants !	7
Anybody can type .	1
You know I talk to it sometimes , and I beg it to wake me up .	6
Come on , hurry ! Hurry !	4
Can't pay his bills .	3
Yes ?	2
They've been setting up weird radar sensors all over downtown .	4
Her boyfriend was killed in a racing accident .	6
Nurse ...	4
They're watching us .	4
Thanks for nothing .	1
No , let's sing about us .	2
I guarantee you that these dreams or nightmares or whatever the hell they are will never bother you again .	6
You will pay me back .	1
[PERSON] is dead .	6
Doctor's here to examine you , freak just so no one can say we laid one finger on you .	1
[PERSON] , [PERSON] , I'll tell you something .	4
The loveliest lady I've ever seen .	5
Move and I'll slit your throat !	1
I suppose they were all in love with you .	5
I want to go to [LOCATION] .	2
Bless me , Father , for I have sinned . Father ?	8
The important thing is that you stand up there and take your cuts , OK ?	8
This kid's cryin' , man .	6
And in a fit of anger , I told her that our being together , our rekindled romance , was a big mistake .	6
What a lively sense of humour .	5
I think an apology ...	6
That's not gonna happen !	1
That's very sweet of you .	5
She can't know we're nuns ! Why not ? What if [PERSON] and [PERSON] find her ?	4
Your Honor , isn't that a question for the jury ?	1
Take your hands off me !	1
Finally lifted the spell !	5
At least they can dream .	5
Get on !	1
I don't think I've ever been so thrilled in my life .	5
Let's put him on the payroll .	1
Where'd you get the money ?	7
For God's sake , shut that up !	1
Hey , fuck you , man !	1
Yes , it is romantic .	5
Those girls ! Wild drivers , sports cars !	5
You think it's a good idea to hand me an ax right now ?	1
Can you get me in to see the Governor ?	2
Up yours !	1
Oh , and I need a can of Maxwell House .	2
Find out which of the creeps she put away is out on parole .	3
That's why you and [PERSON] were special .	8
Well , I find in a moment of anger follows a thousand nights of sorrow .	6
The front controls seem to be all right .	8
That name's kinda familiar , ain't it , Mink ?	7
Christ . What a dump .	3
Yeah , it probably is too .	8
What are you talking about ? She doesn't have a twin sister .	1
So are you , but I admit it openly .	1
It's a miracle they lasted as long as they did .	7
Listen , my folks is important people in [LOCATION] .	1
It's just the beginning .	1
We are presenting a performance .	2
OK , we'll give them a hand .	8
What do you dream about ?	3
Aw , [PERSON] , now what ?	3
Oh no . Shit ! [PERSON] !	4
And at the end of the happy day he is slaughtered jolly with a knife .	2
End of the line , asshole .	1
Let's get married .	2
My life is a surprise .	7
And you've been resenting me .	6
I think a [PERSON] would be good enough .	8
I set up a lunch for you at The [PERSON] .	2
You know how much I enjoy your high style of playing .	8
Who ordered this ? - The gentleman did .	7
Oh , God . Where's my wimple ?	4
Had to do all this myself ...	1
Give the bitch to me .	3
The officers of the [PERSON] in happy celebration .	5
Don't get too used to those long lunches .	3
I assume you can prove that if necessary .	8
Well , that wasn't very nice .	7
You'll soon be in [LOCATION] now .	2
Keep to your seat .	1
He may not be able to use a spoon .	2
Everybody ready ?	2
Who was the clown ?	2
What's wrong with my eyes ?	4
They must have picked the prize dummy .	3
You made a mistake , that's all .	8
Please , I'll go to the old ladies ' home if you don't do something .	4
Green pastures await the tired sinner , and honey flows like water .	2
What a wuss !	1
Smell that , [PERSON] ?	2
He laid me out , strung me up and then ...	3
Wherever you got that specimen from , Doctor ... You sent it to the chemist ... While you were secretly communicating with Mr. [PERSON] ...	3
Don't point that fucking thing at me . Take it off .	1
One of my favorite spots .	8
[LOCATION] has always been able to crack your neck .	1
You've failed .	1
I lost my head for a moment , but I couldn't help it .	6
There is an American on board .	1
This morning they read that an incompetent clown had arrived , parading like a member of the Senate .	3
Oh , I'm awfully sorry , everybody .	6
We have to leave ! Either on a plane to [LOCATION] , or feet first !	2
We are happy to take this opportunity ...	5
Bring her in later .	1
I'm gonna vomit .	3
How much longer do you think your country will last ?	4
Where are you , [PERSON] ?	2
l pumped your stomach . Oh , God .	4
I wan na go to [LOCATION] .	2
I'm terribly sorry .	6
Hey , that's got a nice ring to it , kid .	5
Give encouragement to our lives .	8
How may times do I have to tell you ?	1
I guess since I'm here , I got no choice , huh ?	4
I'm gonna cut you a little slack .	8
Gather around , me buckoes , and feast your eyes on this .	2
Awkward ass .	3
Nice to meet you .	5
Please ... No ...	4
I'm pretty sure I didn't kill anyone for it .	8
and on my wedding night , to wait for him with my heart full of love .	2
Look at us . You feel cursed because you were born with it .	3
I'm afraid the press has been alerted to your mother's presence here ... - ... and her arrest . - Oh , great .	3
Your idea of a chance at him was uncorroborated statements from an informant who was doing hard time and who would sell his own mother to get his sentence reduced .	1
This starved duck ?	3
Sweetheart , don't get personal .	6
I've called you dozens of times .	1
The little people identify with you .	5
I said some bad things about the boy , but we can explain that to the exuberance and excitement of youth , because he's certainly changed his ways now .	5
It's over , [PERSON] .	6
Your whore .	1
Something's wrong here .	4
Maybe you'll buy me a couple of drinks .	2
Thirsty , [LOCATION] ?	8
How long do you think we'll have to stay in this hellhole ?	3
He can't be there !	1
Hit him !	1
Can -- I was gonna ask you if I could give it to you ?	6
Come on , honey .	1
Well ? Where have you been ? Don't tell me you tried to call me back , because I know you did not .	1
The Secretary of State is here . Madam Secretary .	2
I think sister [PERSON] would be much better at it than me .	4
What's it to you ?	1
[PERSON] , [PERSON] , it's Trubel !	2
I haven't seen you for days .	7
I want to get out of there right now .	4
Mr [PERSON] , sir ?	4
No , I don't love you .	6
God , this is a list of questions that could unlock all the Sov military secrets and win the arms race at a stroke :	7
We were so very sorry about your father .	6
I think my dog's escaping .	4
And so do you consider yourself human ?	2
I'm not getting any younger !	2
Shot her , right outta the sky .	6
You're the very animals I was coming to see !	3
You said it's never been done in the history of the DA's office .	2
Too many of those candied doughnuts .	3
I didn't ask you .	1
And I do have a plan .	8
Move it !	1
I'll give it back to you in the morning .	8
Aren't you going to ask me to sit down ?	7
I get twice the work done around here . - You know why ?	1
What do you see in this one ?	2
You can't go around hurting people like that , Comrade [PERSON] .	1
They're coming to get you , Barbara.[LOCATION] ,	2
Didn't you understand that ?	7
You do it again , and you lose a limb .	1
Driver , I'm a little disappointed in you !	1
What's up ? What happened ?	4
You are everything I would want as my wife .	8
It was a nightmare .	4
[LOCATION] , [LOCATION] as far east as the Urals ... then the [LOCATION] , to the north , to the south ... west to the [LOCATION] , over the [LOCATION] to [LOCATION] and the Indies ... will our empire spread .	2
Twelve to fifteen percent of the kids we serve were victims of human trafficking .	6
Not another word !	1
Better make it tomorrow .	2
And every single one of those memories that you're so desperate to pry out of his damaged brain can turn him right back into it .	3
We're safe from all kinds of birdies .	5
His foolish involvement with Lady forgotten [PERSON] ...	1
I wish I could stay .	6
But it'll look great on you .	2
Now you've had it !	1
My dear , I've never denied you anything that was in my power to give .	8
You reckon this'll make the colonel happy ?	2
But the man I'm in love with doesn't .	6
You don't give a shit about him .	3
Yeah , everything's great .	5
On the other hand , they do have some rather nasty habits .	3
All right , boys and girls , come on out .	2
Do you know the meaning of love , professor ?	2
The mess boys ate the strawberries .	1
That isn't exactly living it up .	3
You're in no condition to discuss it .	1
We'll terrorise the whole state .	1
[LOCATION]'s been fatal to every commander who risked his fortune there .	4
That , my boy , is much more to the point .	8
Clearly , you're not like everyone else .	8
Yeah , do you mind ?	1
I'm glad you liked it .	5
So , now I'm supposed to roll over like a bitch dog getting my belly scratched ?	3
You needn't worry .	8
Complete reversal of usual behaviour pattern .	7
Sit back .	1
or jeopardized our sources and methods .  	1
Let me have those things .	2
I wanted to congratulate you .	8
All of you !	7
Look what's in the street .	2
Disappear .	3
If I was you , I would upload your ad onto YouTube and show them who the real genius is around here .	1
I do not know who he brings .	2
This line of questioning doesn't seem particularly relevant .	1
Get a message off to [LOCATION] .	8
You've come home .	7
Careful !	4
A place to belong .	8
Make me look good .	8
I could smell it the first day you were born .	2
Yes ? - The keys !	4
Whiskey .	5
By having all the secrecy and refusing to set up any kind of diplomatic protocols as I know that you have called for and I believe in very strongly .	6
You never told me your father was ...	7
Without you , [PERSON] .	6
Did anybody ever tell you that you smell like the future ?	5
[PERSON] , are you sure about that ?	8
Very nice , very nice .	5
Where's the lady ?	2
I start to realize I got a chance to make amends .	8
Never forget that Satan constantly surrounds us , With but one goal in mind ...	2
They believe they're destined for great things , just like many of you .	2
It's a great philosophy .	5
What did you tell him about you and Ms. [PERSON] ?	4
You'll never deceive the people again !	1
I want you to know that I hate your fucking guts .	3
I want to find out about this place .	2
Acknowledge , over .	1
I love this guy !	5
Glorious , aren't they ?	5
I can not fight .	4
Cease fire !	1
Can you still keep going on ?	4
Won't those two years in court be expensive for you ?	7
You didn't get it , [PERSON] .	3
Why did you do it ?	6
They can't get us in Hole in the Wall .	1
[PERSON] päätti ottaa teidät [PERSON] tilalle ? , Why didn't you tell me ?	1
I've got to go to [LOCATION] , first plane .	6
You can not rent a prince .	1
It doesn't happen often these days .	6
I knew there was treasure down here !	5
Good .	8
Have a drink with the unwashed .	3
How about some great , big , triple - A , jumbo eagle eggs ?	2
We're gonna end you ...  And all this ... 	1
Yeah , I'm just waiting for the taxi .	2
To some very interesting Armenian food .	2
It is time to fight .	1
They were a little stupid .	1
I said it , damn you .	1
But I told you never to fight a street fighter fight .	3
I don't claim to be some kind of brilliant psychologist .	1
I sure couldn't tell you .	8
She danced like an angel .	5
Your mom said I had to bring you over that night , even though it was late .	2
You frightened me .	4
Cut out all that talking , [PERSON] .	1
A man died from looking at his wife .	4
And I want to thank you for making me join the Army .	8
Hit the brakes !	4
You know , you can't actually think .	1
You found courage .	8
Except you'll look better in 'em .	5
Well , for starters , you can give me an update .	1
Can you play the balalaika ? Can she play ?	2
But since you insist on being treated as one , I have no choice but to oblige you .	1
You'll need more than just two of us .	8
For once in my life , I'm telling --	1
Certain camps where the men aren't paid enough or fed enough or protected against disease enough .	6
You can count on that .	8
And when I'm dead on the altar of my country , I hope your conscience irks you .	3
Shit .	1
Volunteered ?	2
What's killing all the children ?	4
But you make one slip , just one and we'll see how long you survive in my cage .	1
Because Dad used to tell me [PERSON] was the finest man he ever knew .	8
Can't you find me a key ?	8
Oh , I'm fine .	2
I'm the funny one .	8
We don't belong here .	6
OK , but it's the last time I set foot in this house .	8
Are you coming to the theater ?	2
What are you doing with my uncle's briefcase ?	7
It was certainly a heart attack !	6
Won't you tell us all about it ?	2
Think God punishes the King to have a French whore .	1
This is hard enough .	4
They made you one of them , you can do the same for me .	2
Doesn't it blow your mind ?	2
We have lots of little problems like this .	3
Be a good , brave boy , Sir [PERSON] .	8
Stop the whore .	3
I'm glad to hear that .	5
Come on , [PERSON] . This is no place for a clergyman's son .	1
Heavens ' name !	7
What do I do now ?	2
[PERSON] , I don't think it'd be so bad if I taught him how to throw a few ...	1
Maybe they can take us .	2
Art here saw her fighting him off .	1
You've finished the whole investigation ?	7
I told him not to expect me to pull the [PERSON] into shape overnight .	1
I've been looking everywhere for you .	7
I think it's a splendid idea .	5
My return to consciousness was a plunge into a new level of pain .	6
You see the moon out there ?	2
How much longer do we have to wait ?	1
But I shouldn't have left like that . I'm sorry .	8
You don't like me very much , do you ?	6
There's a village back there , and you know they got some girls there that would just --	2
When he held me , it wasn't the way a father should hold a daughter .	6
You must rebuild what you've destroyed .	6
Oh , just things that little girls dream about .	3
My gang !	8
We , the hunted , will now hunt !	1
Well , then I shall value it all the more .	5
I still need it when I'm afraid , like a baby who needs a light on in the dark .	8
It ain't safe to go that way ...	4
This must be difficult , your life changing so drastically .	6
Why can't I say it ?	7
I'll talk to him .	8
I'll take you back and dump you .	1
Come on . Go , just go .	1
What's this Chicken Volavent ?	7
Let me go !	1
Somebody threw a fucking tyre chain , hit him right in the mouth .	4
But what's wrong with Sister [PERSON]'s habit ?	7
Even if they got lost somewhere .	4
Hey , you told me the only way you survive is because you're a team .	1
Now's not a good time .	6
Their mandate , repeat , their mandate , is to lie , deny , and deceive .	1
You can do it .	8
You ain't gonna get nobody to come out here .	1
We'll be OK .	8
If we could get the poor kids off the streets for a few months every summer and let them learn something about nature and American ideals .	2
Got a chance of a job there ?	2
Don't try and tell me the runway's too short .	1
Ten percent of your action be enough for anyone .	8
Oh , God .	4
I understand this is a difficult decision but there are human lives at stake , and if help arrives ,	2
If you don't give me my $ 200 , I'm going to tell a policeman how you got it and he'll make you give it to me , 'cause it's mine .	1
I can see by the way you dress you don't care a hoot how you look .	3
Even so , quite wrong to threaten . Not the way to treat an enlisted man .	1
Will you get that freaking nut job off my back ?	1
But I believe what the prosecutor said .	8
I can throw this knife pretty good .	5
We're old friends .	8
That's two accidents in a week .	4
The point is , you give the guy money , he jumps into bed .	1
What you're dealing with is over your head .	1
You love your brother ?	3
I didn't recognize you standing up .	7
You know why I didn't hire you back then ?	8
[PERSON] , they'll kill you too .	4
We're not gonna forfeit .	1
Not a fucking dent !	1
Did you write me that letter or not ?	1
Aw , jeez ! Look at these guys .	5
We mustn't forget we wasted a month through an unfortunate disagreement for which I was not to blame .	3
I'm sure I can do it .	5
Fuck it !	1
Oysters are out of season .	3
Now , then I find myself in [LOCATION] with no money .	6
Monsters devouring human flesh .	1
Who was killed ?	2
My little [PERSON] .	8
I hate jumping out of a perfectly good airplane .	1
Oscar , the phone !	1
You folks have a nice trip .	5
You can put that away .	1
The Beauty queen [PERSON] ?	1
You took [PERSON]'s body .	3
You got ta settle down or you're gonna wake him up .	8
But no , you had to be your stupid , stubborn , son of a bitch self .	1
If I take the Fifth and refuse to testify before the grand jury ... It could destroy my reputation .	4
That's all ?	7
You're going bald too .	6
Welcome .	8
They're lovely .	5
I want to meet my mother .	2
On your head ? She hurt my head .	7
Next time , I'll wipe 'em on you .	1
I don't understand it and I don't like it .	1
I couldn't take my eyes off of that girl and her baby .	5
Where is [PERSON] ? !	7
I know some French talk .	8
Don't tell me you're embarrassed ?	7
The princess has been acting very strangely .	7
I don't wan na go back .	6
I've thought this out very carefully and I know what I'm gonna do .	8
Ever since Case took over the firm .	1
Don't you guys think that'll do it ?	4
Boy , you should have been there .	5
I only hate you and despise you .	3
I saw an ad for a young lady that looked like she could have been or at least once a week .	6
But our kid will have a loving mother and father , and all the advantages that I can give him .	8
That's him right there !	2
How many other generals can boast the favor and support of a leader ... so gifted in the arts of war ?	8
Then go find that guy with the arm .	2
Then the [PERSON] and everybody in it could be destroyed .	4
He's not without experience , you know .	8
Hey , you can not reject me .	1
We haven't enough fuel to hold the keel down .	4
In my estimation , gentlemen , [PERSON] is no risk .	8
How did you get here ?	7
See you soon .	2
Captain , back the starboard engine !	4
I think it's a setup . This man ...	8
You made a mistake I'm not [PERSON] !	4
He's a beautiful kid .	5
I was amazed at his violent reaction until the evidence came to me that he owned those very 200 , acres .	7
It's not [LOCATION] .	1
Come on , Mr. [PERSON] . Really .	1
Man , I always thought it was the mezcal talking , but after seeing this , I think he was right .	8
It can not sit down in wet cushions .	3
How come you adopted me ?	2
For a moment , I thought you were a man .	3
It's something I couldn't discuss with anyone .	4
She eats !	7
I noticed an enormous difference between [PERSON]'s projected figures and the ones off the extro - budget in the [LOCATION] market .	7
So some of the guys've been wondering if you are who you say you are .	2
We all deserve better !	1
You don't even have a yellow thing and your green thing is brown .	3
A lot of you incumbents will be in danger of losing your seats .	1
I'm gonna do it again .	8
A guy like me should never be allowed to get in here in the first place !	6
Lord [PERSON] ! Lord [PERSON] ! Lord [PERSON] !	7
Dr. [PERSON] , I am waiting for your reply .	2
Isn't it hideously plain to the naked eye I'm in love with you ?	1
We liked the same guy , but I liked him more , Would you back off ?	1
It's not your fault the plane landed in [LOCATION] .	6
We'll have him watched from now until the day he sails .	1
We're going to fix that .	8
He could speak out on environmental issues .	2
I wiped the fingerprints , do not worry .	8
You don't like me , do you ?	6
You looking for a fight ? You looking for a rush ?	1
They tried to protect us from the world because we were different .	8
Very nice .	1
Ladies , it's OK with me .	5
A good - looking girl like you ?	7
And that , that caused me to do the most dumb - ass thing I've ever done in my life .	3
We are happy !	5
You can't blame them , can you ?	6
Get out ! If you don't get out , I'm gonna go !	1
This is ridiculous .	1
There never was any love lost between us .	5
I don't know why he gets so worked up over unimportant things .	1
Yes , sir , I still have the scars .	6
It's funny .	5
Mr. [PERSON] , there's a message from Mr. [PERSON] .	8
Gentlemen , gentlemen . You don't understand .	8
Can't anyone love me without it being life or death to them ?	6
He leveraged himself up to his eyeballs . The investments didn't work out ... He got himself in serious debt .	3
gonna be some hard times coming down .	6
After them ... slowly !	1
See , Congress is no different than the rest of the country .	1
Now !	1
Don't even breathe !	1
You are defeated but you have no shame .	3
You are my home .	8
Well , for god's sake , it's my account .	1
Hustled her off in a chopper .	1
The thing is , [PERSON] , we lost a little time .	4
Comes up smelling ' like a rose every time .	5
You know , the four fragile fingers , and the long arm , real short joint .	1
Y - You mean we're gettin' off this submarine ?	4
It's the blood , bone and sinew of this democracy that great men handed down to the human race !	1
God damn , I better not see her naked on payday .	3
Do your friends put money in your pocket , [PERSON] ?	3
You know I've never been able to give you very much .	6
An acquaintance of mine stole classified documents from the NSA and took off to [LOCATION] .	6
I'm getting off at the next stop . That's impossible .	2
For far too long .	3
That's a sign you must be pretty happy .	5
[PERSON] never seemed worried about anything like that .	7
And you know what ? They offered us a job .	7
Just this once , [PERSON] , why don't you empty your own ashtrays ?	1
All right . Set up a meeting . I'll hear them all out .	2
[PERSON] , baby .	5
I don't want to .	1
It hurts !	1
Now , this is as good a time as any , [PERSON] , to get our relationship straight once and for all .	1
Is it not fortunate , for instance , that I own the newspapers in my country ?	5
Sir , I want to see what whaling is like .	2
Päiväsi on lopussa	6
Of course , sir .	8
When the world is ready ... for a new and better life ... All this will someday come to pass ...	2
You're in charge , sir .	8
He's in on it , sir .	8
Fuck you !	1
How can I ?	6
Simply stated , [PERSON] , it means that you have suffered damage to the brain .	6
I am speaking strictly , [PERSON] .	1
You know this guy ? - Yeah .	7
If we trust the motive , we trust the man .	8
Here's another mystery for you to solve :	2
Can you tell us why you elected not to go back in and blow up the missiles , Lieutenant ?	1
Madam President , people will die .	4
Don't you want more cashews , Grandpa ?	5
Look , I'm trying to find a number of [PERSON] , in King's Cross .	1
You listen to me .	1
You committed the perfect crime .	8
Seven passengers and two crewmen were killed .	6
Right with you , Shooter .	8
So now they're best friends ?	2
She does not dance no more ?	7
Follow me !	2
But they were lights , they were flying around .	7
I brought you something to drink .	8
Cheerful sort of a bloke .	5
Here , we'll take care of this .	8
Clang had the whole temple transported here for your sacrifice .	1
He struck you ?	7
You know who that was , Kid ?	8
You're kinda that type yourself .	1
Oh , come on , it's just a joke .	7
Can not afford a dowry to each of his daughters .	6
So this is what it's gonna be , huh ?	1
Give me a call when you get this .	2
They are all happy all the time .	5
You are a mutant .	3
I wouldn't think of such a thing !	7
I'm sorry to hear that , Lady Fingers .	6
He's a male chauvinist .	3
Thirty years in this fucking office .	1
Are you sure it's him ?	4
l got lost .	6
This isn't a temple , is it ?	2
May I ask what you're planning ?	4
Apparently any mother , even a bad one , is better than none .	3
It isn't like it used to be .	6
Enjoy your stay in [LOCATION] .	2
Don't walk away from me .	1
Excuse me , I'm looking for a man .	1
The less the girl hears , the better .	4
No , [PERSON] !	7
Who's the dame ?	2
No ! Windy !	4
You just made it up .	1
You tryin' to adopt a kid ?	7
The whole thing's a fake .	3
Go on . - Go on . Yeah .	5
You're beautiful , [PERSON] , but sometimes you have the bad breath of priests .	3
First things first . Wait , I got it .	5
You heard what she said .	1
I am looking for blue jeans .	2
Really !	7
There's not much we can do .	6
Every one of them terrible .	1
You look like somebody who can take care of herself .	5
Come on out , you bastards !	3
Those dopes are trying to crack open the safe .	3
Bury them for 24 , hours , give me time !	1
This is great !	5
I'd say the odds against a successful escape are 100 , to one .	4
Oh , my gosh !	7
What the hell are you doing ? - [PERSON] !	1
You have to go on the road and I have to go through what I'm going through .	6
You will order your officers to work .	1
The way I understand it , you know [PERSON] better than anyone .	8
l needed him alive !	4
I'll make [LOCATION] look like a little place where the monks live .	1
I'm sorry for you .	6
I fear really fear for the future .	4
I got my coat back !	5
I thought you said that they transferred him .	1
I remember being at the courthouse , and there were people outside holding signs and I thought , you know , how cool to have all this support .	5
So long , suckers !	3
You wrote me letters ?	7
Come off a rumble , we'd beat the shit out of a gang .	1
That's a good idea .	8
I just want to have my shipyard .	1
Then , unless you want to spend the next 20 , years of your life in prison , you will do exactly what I tell you , when I tell you .	1
Your observations will greatly influence public opinion ,	8
And were you not told the same thing by his wife ?	7
It's so remote I thought I would ... be safe there . I figured no one could find me .	6
Hey , look at me !	1
Excuse me ?	7
You did or did not get those records ? - I did not .	6
Splendid .	5
You think I'm dumb enough to give myself up to the T - men ?	1
Soon as we get to [PERSON]'s , we'll sleep then .	2
If not , get the fuck off my car !	1
And you're remembered not for the winning , but because you never lost .	8
It's interesting .	2
There are some in leadership whose time has come and gone . Look ...	3
I get to never see my parents again or my loved ones .	6
Now , you got any more smart talk ?	3
Well , I've been trying to reach him all day .	1
You must get lonely .	6
My favourite colour's blue .	5
Don't you think it's funny ?	7
Aye , sir .	8
Please , Lieutenant .	8
All right , you guys , come on .	2
I don't believe it !	1
If we quit , some Federal judge take away your money .	4
Let's just time [PERSON] as he comes charging to the rescue ! - What's going on here ?	7
don't let it get you down .	8
What do you make of that ?	2
So , I'm gonna call her back , and you are going to apologize .	1
I see you're as adept at breaking into houses as you are into cars , [PERSON] .	8
Come on , come on , come on .	1
He's sure gonna think the worst .	6
I'm going to take this directly to [PERSON] .	2
Why don't you kill him .	1
No ! I don't know [PERSON] , I swear .	4
And for [PERSON] .	8
What is your work ?	2
Why is he letting him go ?	7
We've got gas , where do we go ?	2
He should have been here by now .	4
What are you guys , a bunch of cripples ?	3
I'll need help bathing and changing .	8
Looking forward to it , I might say .	2
Excuse me , sir . What about your meal ?	4
Uh , I'm late for a meeting .	7
I love Russians .	5
Did you ever wan na sleep with a man ?	7
There's no way I can have this kind of exposure .	6
It took me seven years , but I got him !	5
But I always thought little stenographers made little pennies .	7
I'm pleased to meet you , ugly wop son of a bitch .	3
Is that intelligent banking ?	3
I want you to applying for my son .	2
If I had to do it again , I'd do it .	8
This makes !	5
st Louisiana Cavalry .	1
And we think it's actually their job and they're not doing it .	1
I decided to change all : our life , our home . I'll start here in [LOCATION] , in your so cold and dreary palace , ... With new furniture and paintings ,	2
Why did you do it , [PERSON] ?	7
Melancholy sight .	6
He didn't like it .	6
You win this race , and you'll get three years ' pay .	8
What do you think is right ?	2
Are you going to look for gold ?	2
I need to know if this is what you want .	2
It means we can get back before [PERSON] gets home .	2
So that's what those things are for .	7
We're the minorities , man .	6
Who were you expecting ?	7
If I use my last wish ...	2
My face and my body have aged .	6
We need an IV right now !	7
We mustn't stop .	4
I can't stand it here any longer .	1
Get ready .	2
To the loveliest story I ever heard .	5
Bad guys are long gone .	8
You're a fool .	1
Did you know there was a razorback in my truck ?	2
We shot with it .	8
I'm going to see if I can talk to that young girl .	2
Well , you know , I thought we was supposed to be like ...	4
So I'm gonna be sayin' good night .	6
It's not like you let me do anything anyway .	1
Yesterday I was greatly amazed when I came from the market ... and found you'd made your bed , sir .	7
That was some road trip .	7
Bloody marvellous .	5
Are we in danger ?	4
Did you do it ?	7
Almost .	6
My poor person [PERSON] .	6
I'm sorry to disturb you .	6
See ?	2
There's going to be an awful lot of red faces if this policeman does his duty .	3
I knew someone would get killed , but nobody listened .	1
They'd never find me .	1
Man your battle stations !	2
If you bleed , you'll get an infection .	4
You're not talking to this guy .	3
You're nothing but a mad scientist !	1
Go [PERSON] !	8
You really and truly are a perfect bastard .	3
Very well , I won't pry into trade secrets .	8
With my hand out , not in million years .	3
Uh , make sure you bring it back .	8
I'll bet in no time , we could have a whole new car and everything .	2
They want a president they know .	8
Let's not think about [PERSON] or anything sad right now .	5
You get to be the mayor who cleaned up [LOCATION] .	2
It hurts a little .	6
All stations ready . Prepare for diving .	2
I'm not interested in what you think .	1
How did you get in here ?	7
And that they wouldn't hold Backpage responsible was very disturbing to me .	1
l had a dream that I was drowning .	2
I've got Scotch , I've got vodka , there's a nice Chablis ...	2
She's very unhappy .	6
They'll get her out for you .	8
You haven't got the balls to boycott me .	3
My heart soars like a hawk .	5
We'll just drain the pollywogs out and save the grog .	2
[PERSON] , you're a wonderful egg .	5
In the end , we would be masters of a wrecked and hungry planet .	6
Were you in them riots ?	1
He got what he wanted .	7
I'll respect you even more .	8
Did you say Army ?	2
What do you want , Cat ?	1
I'd want to pay you both .	8
In a few months , I will become a citizen .	2
Supposing I don't tell you ?	1
She's not taking that .	7
What are you spying on ?	8
Mr [PERSON] , it's contempt of court to refuse to answer questions .	1
I was gonna have to stab up that lanky prick for trying to take my package anyway .	1
No , not perhaps  . 	6
Yes , I was always afraid as a child .	6
You letting this joker give orders ?	3
You injured your knee in a game .	4
There was this one time , it was just me and of these ferocious , mouse - eating dingoes .	2
You weren't on the team the last time we beat you .	7
Don't give us hunches .	6
It's a liability .	6
I'm sorry , sir .	6
The red blood lust ! What else could it be ?	1
I must be going senile .	6
Ms. [PERSON] ... everybody has a secret face .	7
Now , I don't date teenagers .	3
ESP exists , [PERSON] . They proved it .	5
We believe what the gods did when they made a man crazy was ... make him fall in love .	8
In hours every hit man in [LOCATION] will be here . I seriously doubt that .	4
She may be the next first lady .	2
Schizo , I wanted to meet him ...	2
Me three .	8
